"name"	"taxRank"	"taxID"	"Max"	"porechoped_A_16S01.cladeReads.."	"porechoped_A_16S02.cladeReads.."	"porechoped_A_16S03.cladeReads.."	"porechoped_A_16S04.cladeReads.."	"porechoped_A_16S05.cladeReads.."	"porechoped_A_16S06.cladeReads.."	"porechoped_A_16S07.cladeReads.."	"porechoped_A_16S08.cladeReads.."	"porechoped_A_16S09.cladeReads.."	"porechoped_A_16S10.cladeReads.."	"porechoped_A_16S11.cladeReads.."	"porechoped_A_16S12.cladeReads.."	"porechoped_B_16S01.cladeReads.."	"porechoped_B_16S02.cladeReads.."	"porechoped_B_16S03.cladeReads.."	"porechoped_B_16S04.cladeReads.."	"porechoped_B_16S05.cladeReads.."	"porechoped_B_16S06.cladeReads.."	"porechoped_B_16S07.cladeReads.."	"porechoped_B_16S08.cladeReads.."	"porechoped_B_16S09.cladeReads.."	"porechoped_B_16S10.cladeReads.."	"porechoped_B_16S11.cladeReads.."	"porechoped_B_16S12.cladeReads.."	"porechoped_C_16S01.cladeReads.."	"porechoped_C_16S02.cladeReads.."	"porechoped_C_16S03.cladeReads.."	"porechoped_C_16S04.cladeReads.."	"porechoped_C_16S05.cladeReads.."	"porechoped_C_16S06.cladeReads.."	"porechoped_C_16S07.cladeReads.."	"porechoped_C_16S08.cladeReads.."	"porechoped_C_16S09.cladeReads.."	"porechoped_C_16S10.cladeReads.."	"porechoped_C_16S11.cladeReads.."	"porechoped_C_16S12.cladeReads.."	"porechoped_C_2_16S01.cladeReads.."	"porechoped_C_2_16S02.cladeReads.."	"porechoped_C_2_16S03.cladeReads.."	"porechoped_C_2_16S04.cladeReads.."	"porechoped_C_2_16S05.cladeReads.."	"porechoped_C_2_16S06.cladeReads.."	"porechoped_C_2_16S07.cladeReads.."	"porechoped_C_2_16S08.cladeReads.."	"porechoped_C_2_16S09.cladeReads.."	"porechoped_C_2_16S10.cladeReads.."	"porechoped_C_2_16S11.cladeReads.."	"porechoped_C_2_16S12.cladeReads.."	"porechoped_D_16S01.cladeReads.."	"porechoped_D_16S02.cladeReads.."	"porechoped_D_16S03.cladeReads.."	"porechoped_D_16S04.cladeReads.."	"porechoped_D_16S05.cladeReads.."	"porechoped_D_16S06.cladeReads.."	"porechoped_D_16S08.cladeReads.."	"lineage"
"Bacillus subtilis"	"S"	1423	3.057	NA	0.08482	0.3608	NA	NA	0.1642	NA	0.2817	0.1389	NA	NA	0.1493	0.0397	0.003555	NA	NA	NA	0.1506	NA	NA	0.03873	0.1352	NA	NA	0.2976	0.3205	0.3083	0.1355	NA	NA	0.2441	NA	0.1101	0.1719	2.434	0.06818	NA	NA	NA	0.01358	NA	NA	NA	NA	NA	NA	0.07559	3.057	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"Bacillus velezensis"	"S"	492670	9.635	NA	0.07776	0.2165	NA	NA	0.1321	NA	0.4676	0.3739	NA	NA	0.1493	NA	0.003555	NA	NA	NA	0.1004	NA	NA	NA	0.3644	NA	NA	0.03307	0.05687	0.08478	0.0508	1.506	NA	0.5186	0.4425	0.1542	0.1719	8.742	NA	NA	NA	NA	0.01164	NA	NA	NA	NA	NA	NA	NA	9.635	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group>Bacillus&nbsp;amyloliquefaciens&nbsp;group"
"Bacillus atrophaeus"	"S"	1452	0.007069	NA	0.007069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"Bacillus safensis"	"S"	561879	0.2994	NA	0.02474	NA	NA	NA	0.06406	NA	0.05633	0.05342	NA	NA	0.03982	0.0397	0.003555	NA	NA	NA	NA	0.00433	NA	NA	0.06759	NA	NA	0.0496	0.08789	0.09249	0.2455	NA	0.2994	0.09152	0.1475	0.02203	NA	0.1014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.04958	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus altitudinis"	"S"	293387	4.348	NA	0.01767	0.2886	NA	NA	0.02002	NA	0.03943	0.1603	NA	NA	0.03982	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0911	NA	NA	0.0496	0.07238	0.131	0.1016	NA	NA	0.1525	0.07375	0.06608	0.05731	0.142	0.02727	NA	4.348	NA	0.005819	NA	NA	NA	NA	NA	NA	NA	0.2314	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;altitudinis&nbsp;complex"
"Bacillus sp. ZY-1-1"	"S"	2093834	1.333	NA	0.007069	NA	NA	NA	NA	NA	0.005633	0.1068	NA	NA	NA	NA	NA	NA	NA	NA	0.3012	NA	NA	NA	0.008816	NA	NA	NA	NA	NA	0.008467	NA	NA	NA	NA	0.02203	NA	0.2738	NA	NA	NA	NA	NA	NA	NA	1.333	NA	NA	NA	NA	0.1818	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus coagulans"	"S"	1398	1.333	NA	0.003534	NA	NA	NA	NA	NA	NA	0.0641	NA	NA	NA	NA	NA	NA	NA	NA	0.0502	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1318	NA	NA	NA	NA	NA	NA	NA	1.333	NA	NA	NA	NA	0.04958	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Bacillus cohnii"	"S"	33932	0.1443	NA	0.003534	0.1443	NA	NA	0.004004	NA	0.005633	0.04274	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002939	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02865	0.07099	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0661	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Geobacillus sp. GHH01"	"S"	1233873	0.2008	NA	0.04595	NA	NA	NA	0.06006	NA	0.1521	0.02137	NA	NA	0.04978	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.06759	NA	NA	NA	NA	NA	0.01693	0.2008	NA	0.03051	0.07375	0.04405	0.05731	0.0507	0.01364	NA	NA	NA	0.00194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Geobacillus"
"Lysinibacillus sp. Marseille-P5727"	"S"	2086577	0.2008	NA	0.0106	NA	NA	NA	NA	NA	0.0507	0.1282	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01469	NA	NA	NA	NA	0.007707	0.04233	0.2008	NA	NA	NA	NA	NA	0.1623	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.08263	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Lysinibacillus"
"Lysinibacillus sp. YS11"	"S"	2072025	0.02137	NA	0.003534	NA	NA	NA	NA	NA	NA	0.02137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01653	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Lysinibacillus"
"Parageobacillus thermoglucosidasius"	"S"	1426	0.005633	NA	0.003534	NA	NA	NA	NA	NA	0.005633	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Parageobacillus"
"Paenibacillus polymyxa"	"S"	1406	0.4405	NA	0.106	0.3608	NA	NA	0.1722	NA	0.3267	0.09615	NA	NA	0.1493	NA	NA	NA	NA	NA	0.0502	NA	NA	NA	0.191	NA	NA	0.06614	0.06721	0.04624	0.03387	0.1004	NA	0.3051	0.3687	0.4405	0.2292	0.142	0.04091	NA	NA	NA	0.00194	NA	NA	NA	NA	NA	NA	NA	0.08263	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae>Paenibacillus"
"Paenibacillus mucilaginosus"	"S"	61624	0.2165	NA	0.01414	0.2165	NA	NA	0.008007	NA	0.0507	0.05342	NA	NA	0.01991	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03232	NA	NA	NA	0.00517	0.01541	0.008467	NA	NA	0.03051	NA	0.1101	NA	0.01014	NA	NA	NA	NA	0.00194	NA	NA	NA	NA	NA	NA	NA	0.01653	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae>Paenibacillus"
"Brevibacillus brevis"	"S"	1393	0.06715	NA	0.06715	NA	NA	NA	NA	NA	0.0169	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.008467	NA	NA	NA	NA	NA	NA	0.01014	NA	NA	NA	NA	0.00194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae>Brevibacillus"
"Planococcus sp. MB-3u-03"	"S"	2058136	0.5051	NA	0.09189	0.5051	NA	NA	0.1241	NA	0.09576	0.2244	NA	NA	0.1693	NA	NA	NA	NA	NA	0.4016	NA	NA	NA	0.07053	NA	NA	0.01653	0.04136	0.04624	0.05927	NA	NA	0.3051	0.2212	0.1762	0.1433	0.1521	NA	0.01316	NA	NA	0.007759	NA	NA	NA	NA	NA	NA	NA	0.1653	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Planococcaceae>Planococcus"
"Paenisporosarcina sp. K2R23-3"	"S"	2320858	0.1475	NA	0.04241	NA	NA	NA	0.03203	NA	0.0338	0.05342	NA	NA	0.03982	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02351	NA	NA	NA	NA	NA	0.008467	NA	NA	0.03051	0.1475	0.06608	0.02865	0.01014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03305	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Planococcaceae>Paenisporosarcina"
"Sporosarcina sp. P37"	"S"	1930546	0.0845	NA	0.01767	NA	NA	NA	0.03603	NA	0.0845	0.01068	NA	NA	0.04978	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.008816	NA	NA	NA	NA	NA	NA	NA	NA	0.03051	0.07375	0.02203	NA	NA	NA	NA	NA	NA	0.00388	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Planococcaceae>Sporosarcina"
"Solibacillus silvestris"	"S"	76853	0.3448	NA	0.003534	0.1443	NA	NA	0.004004	NA	0.01127	0.1603	NA	NA	NA	NA	NA	NA	NA	NA	0.2008	NA	NA	NA	0.008816	NA	NA	NA	NA	NA	NA	NA	NA	0.1525	NA	0.04405	NA	0.3448	NA	0.01316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2975	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Planococcaceae>Solibacillus"
"Staphylococcus pasteuri"	"S"	45972	0.3012	NA	0.02474	0.07215	NA	NA	0.01201	NA	0.01127	0.07479	NA	NA	NA	NA	NA	NA	NA	NA	0.3012	NA	NA	NA	0.005877	NA	NA	NA	NA	NA	0.008467	0.3012	NA	NA	NA	NA	NA	0.01014	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.04958	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus succinus"	"S"	61015	0.007069	NA	0.007069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus capitis"	"S"	29388	0.01068	NA	0.003534	NA	NA	NA	NA	NA	NA	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00517	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus auricularis"	"S"	29379	0.4518	NA	0.003534	NA	NA	NA	NA	NA	NA	0.1816	NA	NA	0.009956	NA	NA	NA	NA	NA	0.4518	NA	NA	NA	0.02057	NA	NA	NA	NA	NA	NA	NA	NA	0.09152	NA	NA	NA	0.1014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0661	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Staphylococcus muscae"	"S"	1294	30.43	NA	0.003534	NA	NA	NA	NA	NA	NA	6.667	NA	NA	NA	NA	NA	NA	NA	NA	0.1004	NA	NA	NA	NA	0.02822	NA	NA	0.0517	NA	NA	0.1004	NA	NA	NA	NA	NA	0.6794	0.01364	0.01316	30.43	NA	NA	NA	NA	1.333	NA	NA	NA	NA	1.091	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Alicyclobacillus acidocaldarius"	"S"	405212	0.2165	NA	0.0106	0.2165	NA	NA	0.008007	NA	0.0338	0.09615	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0382	NA	NA	NA	NA	NA	NA	NA	NA	0.03051	NA	NA	0.02865	0.02028	NA	NA	NA	NA	0.00388	NA	NA	NA	NA	NA	NA	NA	0.0661	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Alicyclobacillaceae>Alicyclobacillus"
"Kyrpidia tusciae"	"S"	33943	0.1004	NA	0.0106	NA	NA	NA	0.01601	NA	0.04507	NA	NA	NA	0.009956	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03526	NA	NA	0.03307	0.07755	0.05395	0.0508	0.1004	NA	0.09152	NA	0.02203	0.02865	0.03042	0.05454	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01653	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Alicyclobacillaceae>Kyrpidia"
"Listeria monocytogenes"	"S"	1639	11.54	NA	0.01767	0.2886	NA	NA	0.02803	NA	0.07886	0.0641	NA	NA	NA	NA	NA	NA	NA	NA	0.0502	NA	NA	NA	0.05877	NA	NA	NA	0.03102	0.02312	0.03387	0.1004	0.2994	0.09152	0.07375	NA	0.02865	10.68	0.02727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.54	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Listeriaceae>Listeria"
"Listeria ivanovii"	"S"	1638	0.02028	NA	0.003534	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01653	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Listeriaceae>Listeria"
"Laceyella sp. FBKL4.010"	"S"	2071623	0.07375	NA	0.02121	NA	NA	NA	0.01601	NA	0.05633	0.01068	NA	NA	0.02987	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01763	NA	NA	NA	0.01034	NA	0.0254	NA	NA	0.06101	0.07375	0.02203	0.02865	0.03042	0.01364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03305	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Thermoactinomycetaceae>Laceyella"
"Exiguobacterium antarcticum"	"S"	132920	0.02028	NA	0.003534	NA	NA	NA	NA	NA	0.0169	0.01068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002939	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillales&nbsp;incertae&nbsp;sedis>Bacillales&nbsp;Family&nbsp;XII.&nbsp;Incertae&nbsp;Sedis>Exiguobacterium"
"Erysipelothrix larvae"	"S"	1514105	0.2191	NA	0.2191	NA	NA	NA	NA	NA	0.005633	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005877	NA	NA	0.01653	NA	NA	0.008467	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Erysipelotrichia>Erysipelotrichales>Erysipelotrichaceae>Erysipelothrix"
"Clostridium tetani"	"S"	1513	0.06936	NA	0.03888	NA	NA	NA	0.03203	NA	0.06196	0.03205	NA	NA	0.009956	NA	NA	NA	NA	NA	NA	NA	NA	0.01291	0.01469	NA	NA	0.03307	0.06204	0.06936	0.0508	NA	NA	0.03051	NA	NA	NA	0.03042	0.02727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01653	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium sp. DL-VIII"	"S"	641107	0.02203	NA	0.01414	NA	NA	NA	0.004004	NA	0.005633	NA	NA	NA	0.009956	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01175	NA	NA	NA	0.00517	NA	0.008467	NA	NA	NA	NA	0.02203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium botulinum"	"S"	1491	0.3006	NA	0.003534	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1984	0.2327	0.3006	0.1693	0.2008	NA	0.09152	0.07375	0.04405	0.05731	0.02028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium sp. MF28"	"S"	1702238	0.01653	NA	0.003534	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.008467	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01653	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Hungateiclostridium thermocellum"	"S"	1515	1.448	NA	0.05301	NA	NA	NA	0.004004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.9094	1.448	0.7938	1.177	NA	NA	NA	NA	0.02203	0.02865	NA	0.3681	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Hungateiclostridiaceae>Hungateiclostridium"
"Roseburia hominis"	"S"	301301	6.368	NA	0.007069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.083	1.654	2.52	1.516	NA	NA	NA	0.07375	0.02203	NA	NA	6.368	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Lachnospiraceae>Roseburia"
"Pelosinus sp. UFO1"	"S"	484770	0.2212	NA	0.0106	0.07215	NA	NA	0.004004	NA	0.0507	0.02137	NA	NA	0.02987	NA	NA	NA	NA	NA	0.1004	NA	NA	NA	0.04114	NA	NA	0.03307	0.02585	0.02312	0.1016	NA	NA	0.09152	0.2212	0.02203	0.02865	0.0507	NA	NA	NA	NA	0.00388	NA	NA	NA	NA	NA	NA	NA	0.04958	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Negativicutes>Selenomonadales>Sporomusaceae>Pelosinus"
"Megasphaera stantonii"	"S"	2144175	0.8112	NA	0.007069	0.1443	NA	NA	0.008007	NA	NA	0.02137	NA	NA	0.009956	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005877	NA	NA	NA	NA	NA	0.04233	NA	NA	0.2746	0.8112	0.1322	0.2865	0.04056	0.1091	NA	NA	NA	0.00388	NA	NA	NA	NA	NA	NA	NA	0.01653	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Negativicutes>Veillonellales>Veillonellaceae>Megasphaera"
"Fimbriimonas ginsengisoli"	"S"	1005039	3.453	NA	0.8836	0.1443	NA	NA	1.638	NA	3.453	0.1923	NA	NA	0.9757	0.6352	NA	0.03481	NA	NA	NA	NA	NA	NA	1.096	0.02822	NA	0.744	1.07	1.125	0.6435	0.502	0.2994	1.495	2.36	1.344	0.9169	0.2941	0.6818	0.03947	NA	NA	0.02716	NA	NA	NA	NA	NA	NA	NA	0.1653	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Armatimonadetes>Fimbriimonadia>Fimbriimonadales>Fimbriimonadaceae>Fimbriimonas"
"Cutibacterium acnes"	"S"	1747	0.4367	NA	0.03181	NA	0.03861	NA	NA	NA	NA	NA	NA	NA	NA	0.4367	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Propionibacteriaceae>Cutibacterium"
"Propionibacterium sp. oral taxon 193"	"S"	671223	0.0397	NA	0.0106	NA	0.01931	NA	NA	NA	NA	NA	NA	NA	NA	0.0397	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Propionibacteriaceae>Propionibacterium"
"Propionimicrobium sp. Marseille-P3275"	"S"	1871034	0.2994	NA	0.007069	NA	NA	NA	0.04404	NA	NA	NA	NA	0.007576	0.01991	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01469	NA	NA	0.08267	0.2637	0.1002	0.06773	NA	0.2994	NA	0.07375	NA	0.05731	NA	NA	0.01316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Propionibacteriaceae>Propionimicrobium"
"Friedmanniella sagamiharensis"	"S"	546874	0.1004	NA	0.007069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Nocardioidaceae>Friedmanniella"
